,a,b,a_count,b_count,ab_count,pmi
22548,nutmeg,pumpkin,2784,759,383,2.9906973946354367
32368,cured_pork,fennel,325,866,51,2.990423746136884
27167,celery_oil,corn,1064,5533,1064,2.9878227614066213
7826,rosemary,sage,2360,1147,489,2.9873486786305765
30687,fish,mussel,1045,53,10,2.9868292193477437
30693,endive,shallot,81,616,9,2.985836663434992
19634,saffron,shrimp,127,1051,24,2.9826775773171343
27144,kale,smoked_sausage,100,336,6,2.97578632758149
35285,cardamom,pistachio,269,209,10,2.9718476657321267
16926,lobster,shrimp,107,1051,20,2.971714272519865
49055,avocado,cilantro,800,1981,281,2.968694099271999
18163,caviar,fish,27,1045,5,2.968137086335591
44663,rosemary,thyme,2360,3523,1473,2.967879544406468
51032,black_bean,kidney_bean,527,623,58,2.965004147522335
27468,celery_oil,vinegar,1064,5695,1064,2.9589643284234484
10858,ginger,pumpkin,2613,759,346,2.952490936446213
26878,cucumber,passion_fruit,1597,18,5,2.9494922106276547
2559,cucumber,radish,1597,162,45,2.949492210627654
15591,tamarind,vinegar,1888,5695,1868,2.9483146005067904
24096,pork_sausage,smoked_sausage,1631,336,95,2.9461253333210538
49583,pimento,saffron,318,127,7,2.945979884121276
12687,crab,squid,618,47,5,2.9391100575710825
40624,mace,pumpkin,115,759,15,2.937424499648061
30525,fenugreek,mussel,769,53,7,2.9368354703022788
36347,black_bean,cilantro,527,1981,179,2.935136414905573
1137,kiwi,peach,121,533,11,2.929891507340516
22862,bay,okra,1319,98,22,2.9277540262751605
37037,ham,swiss_cheese,1459,703,174,2.9245000631858096
18457,celery_oil,tamarind,1064,1888,340,2.9221898053079025
41817,bone_oil,carrot,10,3558,6,2.91852871231296
21267,avocado,lettuce,800,1142,154,2.9181126888344773
26339,kale,leek,100,357,6,2.9151617057650556
45238,carob,walnut,12,2976,6,2.9148256277918034
30435,ginger,sesame_oil,2613,356,156,2.9129792151816254
38215,pimento,potato_chip,318,94,5,2.910399951688651
31399,cashew,mango,204,352,12,2.909463684650418
7675,cheese,gruyere_cheese,4029,39,26,2.8995696110052194
14673,lime,lime_juice,1000,1451,240,2.8991835957803973
35433,marjoram,savory,703,155,18,2.8978979534709843
11311,carrot,turnip,3558,174,102,2.895271850148693
15659,egg_noodle,tuna,440,483,35,2.8948648852292655
33896,coconut,macadamia_nut,1618,109,29,2.8933100544436243
8566,grape,strawberry,380,1251,78,2.8911472678069803
22622,honey,orange_flower,2454,15,6,2.8845428471597194
11786,coriander,star_anise,1129,33,6,2.8724725479166437
9149,lemon_peel,orange_peel,808,562,73,2.8707037370383355
24354,papaya,pineapple,43,1886,13,2.8678439828793025
30280,maple_syrup,yam,535,70,6,2.8673056845874205
27540,ginger,thai_pepper,2613,43,18,2.867225580986721
16759,savory,thyme,155,3523,87,2.8617230276988304
45691,ginger,peanut_oil,2613,125,52,2.8609839200632448
20950,roasted_meat,tamarind,20,1888,6,2.859062053273349
25164,apricot,plum,593,234,22,2.8568351433076202
12378,chicken_liver,sage,33,1147,6,2.856654994936935
10431,cinnamon,lovage,5935,168,158,2.8563169508846706
13908,blackberry,peach,166,533,14,2.8548563213976017
9892,chickpea,red_kidney_bean,417,76,5,2.851926554653699
15877,lobster,tarragon,107,415,7,2.85111099866744
10128,cottage_cheese,egg_noodle,548,440,38,2.8508443501707945
34739,okra,smoke,98,455,7,2.846953455738522
39315,ginger,lemongrass,2613,44,18,2.8442360627620222
43057,shallot,tarragon,616,415,40,2.8436621746544493
16820,cereal,popcorn,296,130,6,2.840173768753143
41907,fish,thai_pepper,1045,43,7,2.8392460732675704
22270,fig,grape_juice,107,844,14,2.8343842048621264
15135,grapefruit,mango,110,352,6,2.833956132142273
34845,seaweed,soy_sauce,18,1794,5,2.8331713162239254
13197,cashew,grape,204,380,12,2.8329236075280835
36036,carrot,parsnip,3558,131,72,2.8308231318938546
17538,barley,beef_broth,257,656,26,2.829167868486904
27410,kiwi,yogurt,121,1129,21,2.825952532281751
49526,tangerine,turkey,31,1050,5,2.8252134691021165
26237,cherry,citrus,1088,96,16,2.8224523076607886
644,lima_bean,tomato_juice,158,248,6,2.8220438943408372
34510,cilantro,thai_pepper,1981,43,13,2.8187003993741544
8203,lime_peel_oil,mint,105,749,12,2.8185155204179884
35062,bacon,chicken_liver,2592,33,13,2.814564942827622
50725,sage,thyme,1147,3523,613,2.8126998447703344
16532,dill,salmon,1280,474,92,2.8122741027450324
52786,cashew,sesame_oil,204,356,11,2.811152752406855
21583,ginger,star_anise,2613,33,13,2.8064957347791752
51459,rye_flour,yeast,147,3975,88,2.805432404915769
12632,grape,lime_peel_oil,380,105,6,2.803936070654831
30520,lard,sour_milk,3511,59,31,2.799101788715726
8184,melon,peach,164,533,13,2.792869709776225
49395,artichoke,provolone_cheese,414,196,12,2.7872342210368997
3991,grape,pear,380,374,21,2.786403591893191
